tweet_id,company,polaridade
1073195604296298496,SMILES,1
832197903087185920,SMILES,1
784136470244319236,SMILES,1
728343749839982592,SMILES,1
704788633409216512,SMILES,1
704343072344293377,SMILES,0
676816815813746689,SMILES,0
1111680115442896896,SMILES,1
1096393832353185793,SMILES,1
1096171636238282757,SMILES,1
1096170691630632960,SMILES,1
1114543454028218369,SMILES,0
1111607751698980866,SMILES,0
1073195287542464512,SMILES,1
1052186344682852355,SMILES,0
1045275187103625217,SMILES,1
1034789996597862402,SMILES,1
984040703448797185,SMILES,1
960116281092591616,SMILES,1
885481648657240068,SMILES,0
874650059727663104,SMILES,0
