tweet_id,company,polaridade
1127542253159952384,ITAÚ,1
1119922170493378560,ITAÚ,0
1114182676536340481,ITAÚ,1
1094631529114931206,ITAÚ,1
1085931588704190464,ITAÚ,0
1075708192523472896,ITAÚ,1
1073511940423602177,ITAÚ,1
1045669663487733760,ITAÚ,1
1128008413655363584,ITAÚ,-1
1126870952095178753,ITAÚ,0
1126597502541733910,ITAÚ,0
1126217367040741377,ITAÚ,0
1126074906981163008,ITAÚ,1
1125486456930222086,ITAÚ,0
1124803411667505158,ITAÚ,0
1124384832207900672,ITAÚ,0
1124247460661141504,ITAÚ,1
1123931192645038082,ITAÚ,0
1121069486218588161,ITAÚ,0
1116785205409349632,ITAÚ,0
1115244050867785730,ITAÚ,0
1114179071540441088,ITAÚ,0
960884573700808706,ITAÚ,1
951846554461143040,ITAÚ,0
943866302648774658,ITAÚ,0
923919832566980608,ITAÚ,0
906215808254316545,ITAÚ,0
892505434720010240,ITAÚ,1
885574734733246465,ITAÚ,0
862427192923475970,ITAÚ,0
859875418438062080,ITAÚ,1
847886367963131904,ITAÚ,0
843907584981700608,ITAÚ,0
839551493963411456,ITAÚ,0
834092958748131330,ITAÚ,0
829042284264091650,ITAÚ,1
826475378789199872,ITAÚ,0
822504224139382787,ITAÚ,1
809065632062914560,ITAÚ,0
806954076068073472,ITAÚ,0
"7,81902E+17",ITAÚ,0
765171461992701952,ITAÚ,0
760973772262412289,ITAÚ,1
756564748959883264,ITAÚ,0
717434319099338754,ITAÚ,0
714572956270268416,ITAÚ,0
700032324809977857,ITAÚ,0
694641805313380352,ITAÚ,1
694596582805782528,ITAÚ,0
670286381684531200,ITAÚ,0
666738065893924864,ITAÚ,1
1123908287441833985,ITAÚ,0
1124276288624181249,ITAÚ,1
1124078728471040005,ITAÚ,1
1123711318333231104,ITAÚ,0
1117769654095757312,ITAÚ,0
1092762263331786752,ITAÚ,1
940363068953030657,ITAÚ,0
1127980960669106179,ITAÚ,-1
1121063685487775744,ITAÚ,0
1120753382640189440,ITAÚ,0
1104062943409377280,ITAÚ,1
1094019354696564736,ITAÚ,-1
1093825591147745280,ITAÚ,0
1092829194197889028,ITAÚ,1
1092766290190757893,ITAÚ,-1
1092532465581899781,ITAÚ,-1
1092449552735571969,ITAÚ,1
1085300482355138560,ITAÚ,0
1082620692732891138,ITAÚ,0
1082613639650013184,ITAÚ,0
1097945543735619585,ITAÚ,1
1096005916674220032,ITAÚ,0
1092382565439291394,ITAÚ,0
1091053626196254720,ITAÚ,0
1084870789541683201,ITAÚ,0
1079844672896491521,ITAÚ,0
1092822656615882752,ITAÚ,-1
1127542055201320965,ITAÚ,1
1124275294293168129,ITAÚ,0
1121334583264448512,ITAÚ,0
1121334249582411776,ITAÚ,1
1114171911624384512,ITAÚ,1
1094583726321758208,ITAÚ,1
1089480737827504128,ITAÚ,0
1088791107876601862,ITAÚ,1
1085930610047307776,ITAÚ,0
1079341499148574720,ITAÚ,1
1077882416449101824,ITAÚ,1
1075707987086491648,ITAÚ,1
1073509861470679041,ITAÚ,1
1072915411950338048,ITAÚ,0
1067387926659719169,ITAÚ,1
1054029679206764544,ITAÚ,1
1045669467450232833,ITAÚ,1
1044569029510397958,ITAÚ,1
1031850431289409537,ITAÚ,1
1027160962279923712,ITAÚ,1
1019168932845051904,ITAÚ,1
1017755624115982336,ITAÚ,0
1009790239085420545,ITAÚ,1
1009050813262594048,ITAÚ,1
1007229894332506113,ITAÚ,0
1007053353938030592,ITAÚ,0
1005793815368749056,ITAÚ,-1
1002535111198461952,ITAÚ,1
996725562512216065,ITAÚ,1
996367446536802304,ITAÚ,0
991760440484036614,ITAÚ,1
991623681523765255,ITAÚ,1
985530803856855041,ITAÚ,1
961573964320575489,ITAÚ,1
956855154741075968,ITAÚ,1
947415149572444160,ITAÚ,1
943437618276130818,ITAÚ,0
942368268878270464,ITAÚ,0
941364729779499010,ITAÚ,0
940893606470213632,ITAÚ,1
936550702612189184,ITAÚ,0
933281600904843264,ITAÚ,0
930392306838011904,ITAÚ,1
925670863688683520,ITAÚ,1
925313173149843456,ITAÚ,0
923656421236977667,ITAÚ,1
920244161751732226,ITAÚ,0
903571472526004224,ITAÚ,0
898156972964536320,ITAÚ,1
885897309124472832,ITAÚ,0
880111768881811457,ITAÚ,1
879032522436259844,ITAÚ,0
877526374541656064,ITAÚ,0
877121964393062405,ITAÚ,0
876450708245147648,ITAÚ,0
873271833449172992,ITAÚ,0
872898333521707008,ITAÚ,0
867716296942784512,ITAÚ,0
867002185120460800,ITAÚ,0
866378736022769664,ITAÚ,0
864811919408058369,ITAÚ,0
863720425095876608,ITAÚ,0
863702012654956544,ITAÚ,0
863007525402271746,ITAÚ,0
862842038814994433,ITAÚ,1
862769030834401280,ITAÚ,0
862743129358729216,ITAÚ,0
862688782335836160,ITAÚ,0
862641859046264832,ITAÚ,1
862250460450869252,ITAÚ,1
862079932796731392,ITAÚ,1
862068052111884288,ITAÚ,1
854772735410622464,ITAÚ,0
847131156747309057,ITAÚ,0
